Word,Probability,Topic
environmental,0.010076912,3
public,0.0062322104,3
significant,0.0055848313,3
wolf,0.0052418336,3
business,0.0048344033,3
consumer,0.0048193503,3
lead,0.004801469,3
soot,0.004662244,3
practice,0.00439455,3
trump,0.004343913,3
industry,0.0040972517,3
potential,0.0040427945,3
regulatory,0.0039666584,3
issue,0.0038301959,3
agency,0.003793574,3
recent,0.0037858414,3
oil,0.0037684178,3
interior,0.0037668778,3
impact,0.0037658697,3
policy,0.0037035095,3
regulation,0.0036406422,3
law,0.0034744279,3
concern,0.0033866311,3
decision,0.0030940336,3
debate,0.0030502016,3
violation,0.00296682,3
future,0.002937744,3
act,0.0028974682,3
implication,0.002885702,3
ethic,0.0028689732,3
bernhardt,0.002811506,3
park,0.0027722684,3
ethical,0.0027235688,3
reflects,0.002717543,3
change,0.00266191,3
event,0.002628405,3
noaa,0.0026114788,3
investigation,0.0026034492,3
company,0.002580374,3
need,0.0025715672,3
department,0.0025404384,3
effort,0.002501385,3
conservation,0.0024648446,3
natural,0.0024616306,3
wildlife,0.0024118465,3
role,0.002405658,3
health,0.002352098,3
time,0.0023115678,3
government,0.0022812295,3
federal,0.0022602282,3
action,0.0022579613,3
highlight,0.0022541794,3
cow,0.0022515547,3
leading,0.0022279115,3
importance,0.0021378917,3
critical,0.0020829379,3
broader,0.002081168,3
local,0.0020786412,3
underscore,0.0020665056,3
approach,0.0020549193,3
campaign,0.002042629,3
maintaining,0.0019917,3
case,0.0019889984,3
trend,0.0019723708,3
open,0.0019612485,3
compliance,0.0019050197,3
year,0.0019019496,3
including,0.0018971458,3
elephant,0.0018779888,3
gamble,0.00187795,3
shift,0.0018693801,3
unethical,0.0018633822,3
trust,0.0018382514,3
support,0.0017768374,3
environment,0.001758465,3
violated,0.0017564922,3
ongoing,0.0017491605,3
financial,0.0017477996,3
specific,0.0017418144,3
prevent,0.0017053904,3
poaching,0.001691109,3
procter,0.0016910553,3
bayou,0.0016906096,3
travel,0.0016775798,3
standard,0.001645118,3
firm,0.0016448203,3
data,0.0016414009,3
involved,0.001610931,3
incident,0.0015959849,3
potentially,0.0015877008,3
led,0.0015822375,3
fire,0.0015784329,3
legal,0.0015526981,3
integrity,0.0015498999,3
address,0.0015477982,3
reminder,0.0015438213,3
world,0.0015280701,3
watchdog,0.0015042527,3
charcoal,0.0015041659,3
list,0.0015040283,3
