Word,Probability,Topic
whale,0.014967177,4
ozone,0.012387864,4
bus,0.008852598,4
reef,0.0077932486,4
humpback,0.006695618,4
vehicle,0.0066482197,4
bomb,0.0063304966,4
coral,0.0062967064,4
fee,0.006107528,4
human,0.005577611,4
environmental,0.004795675,4
scientist,0.0047525824,4
emission,0.00457791,4
system,0.004430682,4
electric,0.004423521,4
recent,0.004112734,4
cyclone,0.0041027158,4
role,0.0039432882,4
battery,0.003935241,4
particularly,0.0038472188,4
significant,0.0035962304,4
layer,0.0035598923,4
unique,0.003553769,4
challenge,0.0035155397,4
ecosystem,0.0034905847,4
genome,0.0033600954,4
london,0.0033559136,4
scientific,0.0032705795,4
city,0.0030894922,4
world,0.0030119922,4
explosion,0.002988831,4
round,0.0029886074,4
car,0.0029636493,4
factor,0.0029365038,4
test,0.0029172725,4
discovery,0.002913895,4
charging,0.0028461572,4
understanding,0.0028392642,4
remains,0.002789157,4
remarkable,0.0027797425,4
effort,0.0027321526,4
article,0.0027038518,4
air,0.0026978385,4
importance,0.0026733389,4
congestion,0.0026096115,4
pricing,0.0025795572,4
transport,0.0025789528,4
ethical,0.0025715798,4
concern,0.0025393202,4
northern,0.0025309057,4
known,0.0025272921,4
zero,0.002523261,4
research,0.0024522848,4
pollution,0.002433989,4
potential,0.0024186778,4
crucial,0.002350768,4
complexity,0.0023361568,4
ancient,0.0022462292,4
study,0.002224892,4
earth,0.0022128732,4
genetic,0.002201657,4
natural,0.0021975224,4
technology,0.0021465726,4
advancement,0.0021415253,4
nuclear,0.002138154,4
right,0.0021209668,4
continue,0.0020957137,4
engine,0.0020731066,4
approach,0.0020476591,4
technological,0.0019846302,4
conclusion,0.0019761196,4
strong,0.0019715647,4
key,0.0019634934,4
efficiency,0.0019602731,4
offer,0.0019439574,4
critical,0.0019095395,4
pathway,0.0018808118,4
manhattan,0.0018749273,4
testing,0.0018747278,4
speed,0.001874087,4
hope,0.0018693386,4
need,0.0018633868,4
method,0.0018508577,4
travel,0.0018409705,4
year,0.001826125,4
greener,0.0018113058,4
involved,0.0018037736,4
find,0.001793737,4
advanced,0.0017925991,4
expansion,0.0017718498,4
deepwater,0.0017696017,4
science,0.0017492502,4
contributing,0.0017420765,4
train,0.0017087737,4
transitioning,0.0017069792,4
progress,0.001702588,4
project,0.0016996212,4
play,0.0016920378,4
transportation,0.0016559864,4
barrier,0.0016471092,4
